frame,estimated_x,estimated_y,groundtruth_x,groundtruth_y,error
41,616.0167236328125,348.81170654296875,631.0,347.0,15.092410387123563
42,616.0501708984375,348.8297424316406,631.0,347.0,15.061385976465486
43,615.8065185546875,348.8282165527344,631.5,346.0,15.946290124775995
44,615.7551879882812,348.8592224121094,632.0,348.0,16.26751918546749
45,615.72900390625,348.8475646972656,631.5,348.0,15.79375457910907
46,615.723388671875,348.85186767578125,631.5,347.5,15.834424877826926
47,615.6326293945312,348.889892578125,632.5,346.5,17.035838038594058
48,615.7797241210938,348.90020751953125,632.0,347.0,16.331201370539493
49,615.7269287109375,348.90142822265625,632.0,347.0,16.383780957545298
50,615.5687255859375,348.9573059082031,631.5,346.5,16.119672973812232
51,615.5405883789062,348.8047790527344,632.5,346.5,17.11530452593856
52,615.3633422851562,348.5935974121094,632.5,346.0,17.33181424928776
53,614.9622192382812,348.5001220703125,632.0,346.0,17.220237618884855
54,614.6738891601562,348.12237548828125,632.0,346.0,17.455617850646483
55,614.2691650390625,347.88629150390625,631.5,345.0,17.470900151296938
56,613.8109130859375,347.5308532714844,632.0,344.5,18.439874032123626
57,613.3075561523438,347.20404052734375,631.0,345.0,17.829199756260603
58,612.7972412109375,346.87060546875,631.5,345.0,18.796072758466646
59,612.0464477539062,346.58538818359375,631.0,344.5,19.067930842691815
60,611.37109375,346.257568359375,630.0,344.0,18.765200850738054
61,610.5714111328125,346.4312438964844,629.0,344.5,18.52950594655819
62,609.696044921875,346.62030029296875,629.0,344.5,19.420050334400045
63,608.76806640625,346.8782043457031,628.0,344.5,19.37841907030424
64,607.9092407226562,347.11224365234375,627.0,345.0,19.20725547891611
65,606.7888793945312,347.3670959472656,626.0,345.5,19.30163729309412
66,605.7598876953125,347.67193603515625,625.0,345.0,19.424756463671656
67,604.78076171875,347.9266357421875,624.5,346.0,19.813134120471446
68,603.9861450195312,348.24102783203125,624.0,346.0,20.13893236800731
69,603.0934448242188,348.55316162109375,623.0,346.0,20.069618163528904
70,602.298828125,348.8648376464844,622.5,346.5,20.339119996143413
71,601.548828125,349.1650695800781,622.0,347.0,20.56545543739235
72,600.8230590820312,349.549560546875,621.0,347.5,20.28077028227745
73,600.2882080078125,349.88665771484375,620.5,348.0,20.299655486446913
74,599.7716674804688,350.31036376953125,620.5,347.5,20.91798062809483
75,599.3370971679688,350.6798400878906,619.5,348.0,20.340211245476272
76,598.9279174804688,350.92974853515625,619.5,347.5,20.856024410342677
77,598.7611694335938,351.2635803222656,620.0,347.5,21.569711650150946
78,598.8074951171875,351.4900207519531,620.0,348.5,21.402394429248844
79,598.7327880859375,351.8159484863281,620.0,348.5,21.524168206033508
80,598.750732421875,352.15875244140625,620.0,349.0,21.48276261547486
81,598.6466064453125,352.4230041503906,620.0,349.0,21.62601150732518
82,598.7382202148438,352.76123046875,620.0,349.0,21.591899737437007
83,598.9331665039062,353.11236572265625,620.5,349.0,21.955406142567927
84,599.1534423828125,353.4396057128906,620.5,349.0,21.80333967514694
85,599.7278442382812,353.7225036621094,621.0,350.0,21.595407943941275
86,600.4593505859375,354.0212707519531,622.0,350.5,21.826564660709014
87,600.9850463867188,354.38592529296875,622.5,350.5,21.863065758584227
88,601.6354370117188,354.8099670410156,623.0,351.0,21.701622071491855
89,602.2974243164062,355.10693359375,623.5,351.5,21.507189160098147
90,603.05517578125,355.1856689453125,625.0,351.5,22.252178894802135
91,603.4990234375,355.1669921875,625.5,351.5,22.30447940228286
92,603.9716796875,355.1207580566406,626.0,351.5,22.323906125381107
93,604.3936157226562,355.08453369140625,626.5,351.5,22.39511347598885
