frame,x,y,bbox_x,bbox_y,bbox_w,bbox_h,dx,dy,speed_px_per_frame,direction_deg,tracked_points
29,631.5,368.5,534,332,195,73,0.3828684389591217,-0.11225255578756332,0.39898480902389594,-16.340521059694886,24
30,631.5,368.5,534,332,195,73,0.3327484130859375,-0.040198009461164474,0.33516769888497544,-6.888294695935327,24
31,631.5,368.5,534,332,195,73,0.47897592186927795,-0.045302074402570724,0.481113512256412,-5.4030256068306555,24
32,631.5,368.5,534,332,195,73,0.15055249631404877,0.05938853323459625,0.16184267677639422,21.52777654997237,23
33,631.5,368.5,534,332,195,73,0.22875180840492249,0.03442515432834625,0.23132764879938764,8.558292955174341,23
34,631.5,368.5,534,332,195,73,0.45401135087013245,-0.0903904139995575,0.46292195201992087,-11.25994699903658,23
35,631.5,368.5,534,332,195,73,0.07997994124889374,0.04523766413331032,0.09188708972654801,29.493048242815682,23
36,631.5,368.5,534,332,195,73,0.36659836769104004,0.04092274606227875,0.3688753642343342,6.369460443252716,23
37,631.5,368.5,534,332,195,73,0.36025336384773254,0.04196830466389656,0.3626897086490991,6.644813585691789,23
38,631.5,368.5,534,332,195,73,0.41789180040359497,0.023692255839705467,0.4185628744063813,3.2448940938391453,23
39,631.5,368.5,534,332,195,73,0.42884892225265503,0.09615956246852875,0.43949750803776194,12.63822802418612,23
40,632.5,368.5,535,332,195,73,0.5096117258071899,-0.023834228515625,0.5101687774934072,-2.6777372725520063,23
41,632.5,368.5,535,332,195,73,0.2887042462825775,0.04342518746852875,0.29195186029252845,8.553967920260781,23
42,632.0,368.5,536,332,192,73,0.5827318429946899,0.01621146872639656,0.5829572990865239,1.5935446736709868,23
43,632.0,368.5,536,332,192,73,0.43013861775398254,0.05041636526584625,0.4330831795047297,6.685111865417548,23
44,633.0,368.5,537,332,192,73,0.5196033716201782,0.043755270540714264,0.5214424105298189,4.813462987194121,22
45,634.0,368.5,538,332,192,73,0.5351285338401794,-0.016043923795223236,0.5353689897824555,-1.717295522531042,22
46,633.5,368.5,539,332,189,73,0.5503068566322327,0.078704833984375,0.5559065455172809,8.139241180050739,22
47,634.5,368.5,540,332,189,73,0.5348316431045532,0.05842728912830353,0.5380136007396082,6.2345121628315505,22
48,635.5,368.5,541,332,189,73,0.7926774621009827,0.00691084424033761,0.7927075871284247,0.49951234254202476,22
49,635.0,368.5,542,332,186,73,0.526904284954071,0.0027938843704760075,0.5269116921200709,0.3038052398199822,20
50,635.0,368.5,542,332,186,73,0.3680267333984375,0.06543121486902237,0.37379796732347376,10.081237868541423,20
51,636.0,368.5,543,332,186,73,0.5368682742118835,-0.14012756943702698,0.5548542867921046,-14.628365518562541,20
52,635.5,368.5,544,332,183,73,0.553790271282196,-0.2764450013637543,0.6189551707077132,-26.527781936229587,20
53,635.5,368.5,544,332,183,73,0.08016485720872879,-0.059064362198114395,0.09957410915075224,-36.382276539545614,19
54,635.5,368.5,544,332,183,73,0.2907680869102478,-0.4498460590839386,0.5356375241138318,-57.12248712159372,18
55,635.5,368.5,544,332,183,73,0.1887037456035614,-0.2519666850566864,0.31479567021048593,-53.169601051362044,18
